#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_003262475.1	PRJNA224116	SAMN08932827	QJLM00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015402		latest	Contig	Major	Full	2018/06/25	ASM326247v1	West China Hospital, Sichuan University	GCA_003262475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/475/GCF_003262475.1_ASM326247v1		
GCF_003262485.1	PRJNA224116	SAMN08932825	QJLK00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015396		latest	Contig	Major	Full	2018/06/25	ASM326248v1	West China Hospital, Sichuan University	GCA_003262485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/485/GCF_003262485.1_ASM326248v1		
GCF_003262505.1	PRJNA224116	SAMN08932823	QJLI00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015394		latest	Contig	Major	Full	2018/06/25	ASM326250v1	West China Hospital, Sichuan University	GCA_003262505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/505/GCF_003262505.1_ASM326250v1		
GCF_003262535.1	PRJNA224116	SAMN08932821	QJLG00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015376		latest	Contig	Major	Full	2018/06/25	ASM326253v1	West China Hospital, Sichuan University	GCA_003262535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/535/GCF_003262535.1_ASM326253v1		
GCF_003262545.1	PRJNA224116	SAMN08932820	QJLF00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015375		latest	Contig	Major	Full	2018/06/25	ASM326254v1	West China Hospital, Sichuan University	GCA_003262545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/545/GCF_003262545.1_ASM326254v1		
GCF_003262575.1	PRJNA224116	SAMN08932819	QJLE00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015372		latest	Contig	Major	Full	2018/06/25	ASM326257v1	West China Hospital, Sichuan University	GCA_003262575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/575/GCF_003262575.1_ASM326257v1		
GCF_003262585.1	PRJNA224116	SAMN08932816	QJLB00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015369		latest	Contig	Major	Full	2018/06/25	ASM326258v1	West China Hospital, Sichuan University	GCA_003262585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/585/GCF_003262585.1_ASM326258v1		
GCF_003262615.1	PRJNA224116	SAMN08624648	QJKV00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015289		latest	Contig	Major	Full	2018/06/25	ASM326261v1	West China Hospital, Sichuan University	GCA_003262615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/615/GCF_003262615.1_ASM326261v1		
GCF_003262625.1	PRJNA224116	SAMN08624646	QJKU00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015275		latest	Contig	Major	Full	2018/06/25	ASM326262v1	West China Hospital, Sichuan University	GCA_003262625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/625/GCF_003262625.1_ASM326262v1		
GCF_003262655.1	PRJNA224116	SAMN08624637	QJKR00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015237		latest	Contig	Major	Full	2018/06/25	ASM326265v1	West China Hospital, Sichuan University	GCA_003262655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/655/GCF_003262655.1_ASM326265v1		
GCF_003262665.1	PRJNA224116	SAMN08624635	QJKQ00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015234		latest	Contig	Major	Full	2018/06/25	ASM326266v1	West China Hospital, Sichuan University	GCA_003262665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/665/GCF_003262665.1_ASM326266v1		
GCF_003262695.1	PRJNA224116	SAMN08932814	QJKP00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015233		latest	Contig	Major	Full	2018/06/25	ASM326269v1	West China Hospital, Sichuan University	GCA_003262695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/695/GCF_003262695.1_ASM326269v1		
GCF_003262705.1	PRJNA224116	SAMN08932813	QJKN00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015115		latest	Contig	Major	Full	2018/06/25	ASM326270v1	West China Hospital, Sichuan University	GCA_003262705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/705/GCF_003262705.1_ASM326270v1		
GCF_003262725.1	PRJNA224116	SAMN08932882	QJNP00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015667		latest	Contig	Major	Full	2018/06/25	ASM326272v1	West China Hospital, Sichuan University	GCA_003262725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/725/GCF_003262725.1_ASM326272v1		
GCF_003262755.1	PRJNA224116	SAMN08932876	QJNJ00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015656		latest	Contig	Major	Full	2018/06/25	ASM326275v1	West China Hospital, Sichuan University	GCA_003262755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/755/GCF_003262755.1_ASM326275v1		
GCF_003262765.1	PRJNA224116	SAMN08932873	QJNG00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015650		latest	Contig	Major	Full	2018/06/25	ASM326276v1	West China Hospital, Sichuan University	GCA_003262765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/765/GCF_003262765.1_ASM326276v1		
GCF_003262795.1	PRJNA224116	SAMN08932867	QJNA00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015633		latest	Contig	Major	Full	2018/06/25	ASM326279v1	West China Hospital, Sichuan University	GCA_003262795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/795/GCF_003262795.1_ASM326279v1		
GCF_003262805.1	PRJNA224116	SAMN08932865	QJMY00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015627		latest	Contig	Major	Full	2018/06/25	ASM326280v1	West China Hospital, Sichuan University	GCA_003262805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/805/GCF_003262805.1_ASM326280v1		
GCF_003262835.1	PRJNA224116	SAMN08932861	QJMU00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015622		latest	Contig	Major	Full	2018/06/25	ASM326283v1	West China Hospital, Sichuan University	GCA_003262835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/835/GCF_003262835.1_ASM326283v1		
GCF_003262845.1	PRJNA224116	SAMN08932856	QJMP00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015581		latest	Contig	Major	Full	2018/06/25	ASM326284v1	West China Hospital, Sichuan University	GCA_003262845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/845/GCF_003262845.1_ASM326284v1		
GCF_003262875.1	PRJNA224116	SAMN08932853	QJMM00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015572		latest	Contig	Major	Full	2018/06/25	ASM326287v1	West China Hospital, Sichuan University	GCA_003262875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/875/GCF_003262875.1_ASM326287v1		
GCF_003262885.1	PRJNA224116	SAMN08932844	QJMD00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015525		latest	Contig	Major	Full	2018/06/25	ASM326288v1	West China Hospital, Sichuan University	GCA_003262885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/885/GCF_003262885.1_ASM326288v1		
GCF_003262905.1	PRJNA224116	SAMN08932840	QJLZ00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015493		latest	Contig	Major	Full	2018/06/25	ASM326290v1	West China Hospital, Sichuan University	GCA_003262905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/905/GCF_003262905.1_ASM326290v1		
GCF_003262915.1	PRJNA224116	SAMN08932839	QJLY00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015490		latest	Contig	Major	Full	2018/06/25	ASM326291v1	West China Hospital, Sichuan University	GCA_003262915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/915/GCF_003262915.1_ASM326291v1		
GCF_003262955.1	PRJNA224116	SAMN08932838	QJLX00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015488		latest	Contig	Major	Full	2018/06/25	ASM326295v1	West China Hospital, Sichuan University	GCA_003262955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/955/GCF_003262955.1_ASM326295v1		
GCF_003262965.1	PRJNA224116	SAMN08932830	QJLP00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015468		latest	Contig	Major	Full	2018/06/25	ASM326296v1	West China Hospital, Sichuan University	GCA_003262965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/965/GCF_003262965.1_ASM326296v1		
GCF_003262975.1	PRJNA224116	SAMN08932837	QJLW00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015480		latest	Contig	Major	Full	2018/06/25	ASM326297v1	West China Hospital, Sichuan University	GCA_003262975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/975/GCF_003262975.1_ASM326297v1		
GCF_003262995.1	PRJNA224116	SAMN08932829	QJLO00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015464		latest	Contig	Major	Full	2018/06/25	ASM326299v1	West China Hospital, Sichuan University	GCA_003262995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/262/995/GCF_003262995.1_ASM326299v1		
GCF_003263035.1	PRJNA224116	SAMN08932824	QJLJ00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015395		latest	Contig	Major	Full	2018/06/25	ASM326303v1	West China Hospital, Sichuan University	GCA_003263035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/263/035/GCF_003263035.1_ASM326303v1		
GCF_003263045.1	PRJNA224116	SAMN08932826	QJLL00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015400		latest	Contig	Major	Full	2018/06/25	ASM326304v1	West China Hospital, Sichuan University	GCA_003263045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/263/045/GCF_003263045.1_ASM326304v1		
GCF_003263055.1	PRJNA224116	SAMN08932822	QJLH00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015381		latest	Contig	Major	Full	2018/06/25	ASM326305v1	West China Hospital, Sichuan University	GCA_003263055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/263/055/GCF_003263055.1_ASM326305v1		
GCF_003263065.1	PRJNA224116	SAMN08932818	QJLD00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015371		latest	Contig	Major	Full	2018/06/25	ASM326306v1	West China Hospital, Sichuan University	GCA_003263065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/263/065/GCF_003263065.1_ASM326306v1		
GCF_003263115.1	PRJNA224116	SAMN08932817	QJLC00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015370		latest	Contig	Major	Full	2018/06/25	ASM326311v1	West China Hospital, Sichuan University	GCA_003263115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/263/115/GCF_003263115.1_ASM326311v1		
GCF_003263125.1	PRJNA224116	SAMN08932815	QJLA00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015368		latest	Contig	Major	Full	2018/06/25	ASM326312v1	West China Hospital, Sichuan University	GCA_003263125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/263/125/GCF_003263125.1_ASM326312v1		
GCF_003263135.1	PRJNA224116	SAMN08624655	QJKY00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015328		latest	Contig	Major	Full	2018/06/25	ASM326313v1	West China Hospital, Sichuan University	GCA_003263135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/263/135/GCF_003263135.1_ASM326313v1		
GCF_003263145.1	PRJNA224116	SAMN08624659	QJKZ00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015349		latest	Contig	Major	Full	2018/06/25	ASM326314v1	West China Hospital, Sichuan University	GCA_003263145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/263/145/GCF_003263145.1_ASM326314v1		
GCF_003263195.1	PRJNA224116	SAMN08624650	QJKW00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015307		latest	Contig	Major	Full	2018/06/25	ASM326319v1	West China Hospital, Sichuan University	GCA_003263195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/263/195/GCF_003263195.1_ASM326319v1		
GCF_003263205.1	PRJNA224116	SAMN08624652	QJKX00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015315		latest	Contig	Major	Full	2018/06/25	ASM326320v1	West China Hospital, Sichuan University	GCA_003263205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/263/205/GCF_003263205.1_ASM326320v1		
GCF_003263215.1	PRJNA224116	SAMN08624644	QJKT00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015257		latest	Contig	Major	Full	2018/06/25	ASM326321v1	West China Hospital, Sichuan University	GCA_003263215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/263/215/GCF_003263215.1_ASM326321v1		
GCF_003263225.1	PRJNA224116	SAMN08624638	QJKS00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015238		latest	Contig	Major	Full	2018/06/25	ASM326322v1	West China Hospital, Sichuan University	GCA_003263225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/263/225/GCF_003263225.1_ASM326322v1		
GCF_003263275.1	PRJNA224116	SAMN08624630	QJKO00000000.1	na	573	573	Klebsiella pneumoniae	strain=WCHKP015158		latest	Contig	Major	Full	2018/06/25	ASM326327v1	West China Hospital, Sichuan University	GCA_003263275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/263/275/GCF_003263275.1_ASM326327v1		
GCF_003267985.1	PRJNA224116	SAMN07373332		na	573	573	Klebsiella pneumoniae	strain=CDC 0106		latest	Complete Genome	Major	Full	2018/06/26	ASM326798v1	Genentech	GCA_003267985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/267/985/GCF_003267985.1_ASM326798v1		
GCF_003284835.1	PRJNA224116	SAMN09298424	QMDN00000000.1	na	573	573	Klebsiella pneumoniae	strain=BC_4509		latest	Contig	Major	Full	2018/06/30	ASM328483v1	University of Sao Paulo	GCA_003284835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/284/835/GCF_003284835.1_ASM328483v1		
GCF_003285145.1	PRJNA224116	SAMN09476129		na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=11219		latest	Complete Genome	Major	Full	2018/07/02	ASM328514v1	Beijing Institute of Microbiology and Epidemiology	GCA_003285145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/285/145/GCF_003285145.1_ASM328514v1		
GCF_003286975.1	PRJNA224116	SAMN09476115		na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=12208		latest	Complete Genome	Major	Full	2018/07/03	ASM328697v1	Beijing Institute of Microbiology and Epidemiology	GCA_003286975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/286/975/GCF_003286975.1_ASM328697v1		
GCF_003286995.1	PRJNA224116	SAMN09487268		na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=SC-7		latest	Complete Genome	Major	Full	2018/07/03	ASM328699v1	The Hong Kong Polytechnic University	GCA_003286995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/286/995/GCF_003286995.1_ASM328699v1		
GCF_003288375.1	PRJNA224116	SAMN07291505		na	573	573	Klebsiella pneumoniae	strain=AR_362		latest	Complete Genome	Major	Full	2018/07/05	ASM328837v1	FDA/CDC	GCA_003288375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/288/375/GCF_003288375.1_ASM328837v1		
GCF_003311745.1	PRJNA224116	SAMN08782032	PYWE00000000.1	na	573	573	Klebsiella pneumoniae	strain=EN5271		latest	Contig	Major	Full	2018/07/10	ASM331174v1	National Institute of Cholera and Enteric Diseases	GCA_003311745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/311/745/GCF_003311745.1_ASM331174v1		
GCF_003311785.1	PRJNA224116	SAMN08782029	PYWD00000000.1	na	573	573	Klebsiella pneumoniae	strain=EN5226		latest	Contig	Major	Full	2018/07/10	ASM331178v1	National Institute of Cholera and Enteric Diseases	GCA_003311785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/311/785/GCF_003311785.1_ASM331178v1		
GCF_003312125.1	PRJNA224116	SAMN09499329	QMKA00000000.1	na	573	573	Klebsiella pneumoniae	strain=ZWH170		latest	Scaffold	Major	Full	2018/07/10	ASM331212v1	Second Affiliated Hospital of Zhejiang University, School of Medicine	GCA_003312125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/312/125/GCF_003312125.1_ASM331212v1		
GCF_003312135.1	PRJNA224116	SAMN09499328	QMKB00000000.1	na	573	573	Klebsiella pneumoniae	strain=ZWH183		latest	Scaffold	Major	Full	2018/07/10	ASM331213v1	Second Affiliated Hospital of Zhejiang University, School of Medicine	GCA_003312135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/312/135/GCF_003312135.1_ASM331213v1		
GCF_003312145.1	PRJNA224116	SAMN09499327	QMKC00000000.1	na	573	573	Klebsiella pneumoniae	strain=WJQ129		latest	Scaffold	Major	Full	2018/07/10	ASM331214v1	Second Affiliated Hospital of Zhejiang University, School of Medicine	GCA_003312145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/312/145/GCF_003312145.1_ASM331214v1		
GCF_003312185.1	PRJNA224116	SAMN09499326	QMKD00000000.1	na	573	573	Klebsiella pneumoniae	strain=WJQ205		latest	Scaffold	Major	Full	2018/07/10	ASM331218v1	Second Affiliated Hospital of Zhejiang University, School of Medicine	GCA_003312185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/312/185/GCF_003312185.1_ASM331218v1		
GCF_003312195.1	PRJNA224116	SAMN09499325	QMKE00000000.1	na	573	573	Klebsiella pneumoniae	strain=JZX2124		latest	Scaffold	Major	Full	2018/07/10	ASM331219v1	Second Affiliated Hospital of Zhejiang University, School of Medicine	GCA_003312195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/312/195/GCF_003312195.1_ASM331219v1		
GCF_003312205.1	PRJNA224116	SAMN09499324	QMKF00000000.1	na	573	573	Klebsiella pneumoniae	strain=JZX2078		latest	Scaffold	Major	Full	2018/07/10	ASM331220v1	Second Affiliated Hospital of Zhejiang University, School of Medicine	GCA_003312205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/312/205/GCF_003312205.1_ASM331220v1		
GCF_003314495.1	PRJNA224116	SAMN08782031	QCZC00000000.1	na	573	573	Klebsiella pneumoniae	strain=EN5269		latest	Contig	Major	Full	2018/07/11	ASM331449v1	National Institute of Cholera and Enteric Diseases	GCA_003314495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/314/495/GCF_003314495.1_ASM331449v1		
GCF_003314505.1	PRJNA224116	SAMN08782030	QCZB00000000.1	na	573	573	Klebsiella pneumoniae	strain=EN5261		latest	Contig	Major	Full	2018/07/11	ASM331450v1	National Institute of Cholera and Enteric Diseases	GCA_003314505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/314/505/GCF_003314505.1_ASM331450v1		
GCF_003316235.1	PRJNA224116	SAMN08374131	PPSU00000000.1	na	573	573	Klebsiella pneumoniae	strain=DLL7526		latest	Contig	Major	Full	2018/07/13	ASM331623v1	Monash University	GCA_003316235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/316/235/GCF_003316235.1_ASM331623v1		
GCF_003316315.1	PRJNA224116	SAMN08374133	PPSS00000000.1	na	573	573	Klebsiella pneumoniae	strain=DLL7528		latest	Contig	Major	Full	2018/07/13	ASM331631v1	Monash University	GCA_003316315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/316/315/GCF_003316315.1_ASM331631v1		
GCF_003318315.1	PRJNA224116	SAMN09489635	QODD00000000.1	na	573	573	Klebsiella pneumoniae	strain=KPC42		latest	Contig	Major	Full	2018/07/14	ASM331831v1	Federal University of Uberlandia	GCA_003318315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/318/315/GCF_003318315.1_ASM331831v1		
GCF_003321095.1	PRJNA224116	SAMN09298451	QOHT00000000.1	na	573	573	Klebsiella pneumoniae	strain=BC_4994		latest	Contig	Major	Full	2018/07/15	ASM332109v1	University of Sao Paulo	GCA_003321095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/321/095/GCF_003321095.1_ASM332109v1		
GCF_003321105.1	PRJNA224116	SAMN09298437	QOIF00000000.1	na	573	573	Klebsiella pneumoniae	strain=BC_1563		latest	Contig	Major	Full	2018/07/15	ASM332110v1	University of Sao Paulo	GCA_003321105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/321/105/GCF_003321105.1_ASM332110v1		
GCF_003321135.1	PRJNA224116	SAMN09298455	QOHS00000000.1	na	573	573	Klebsiella pneumoniae	strain=BC_5000		latest	Contig	Major	Full	2018/07/15	ASM332113v1	University of Sao Paulo	GCA_003321135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/321/135/GCF_003321135.1_ASM332113v1		
GCF_003321155.1	PRJNA224116	SAMN09298448	QOHV00000000.1	na	573	573	Klebsiella pneumoniae	strain=BC_4998		latest	Contig	Major	Full	2018/07/15	ASM332115v1	University of Sao Paulo	GCA_003321155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/321/155/GCF_003321155.1_ASM332115v1		
GCF_003321195.1	PRJNA224116	SAMN09298449	QOHU00000000.1	na	573	573	Klebsiella pneumoniae	strain=BC_4996		latest	Contig	Major	Full	2018/07/15	ASM332119v1	University of Sao Paulo	GCA_003321195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/321/195/GCF_003321195.1_ASM332119v1		
GCF_003321215.1	PRJNA224116	SAMN09298447	QOHW00000000.1	na	573	573	Klebsiella pneumoniae	strain=BC_5001		latest	Contig	Major	Full	2018/07/15	ASM332121v1	University of Sao Paulo	GCA_003321215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/321/215/GCF_003321215.1_ASM332121v1		
GCF_003321225.1	PRJNA224116	SAMN09298438	QOIE00000000.1	na	573	573	Klebsiella pneumoniae	strain=BC_2026		latest	Contig	Major	Full	2018/07/15	ASM332122v1	University of Sao Paulo	GCA_003321225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/321/225/GCF_003321225.1_ASM332122v1		
GCF_003321235.1	PRJNA224116	SAMN09298446	QOHX00000000.1	na	573	573	Klebsiella pneumoniae	strain=BC_1427		latest	Contig	Major	Full	2018/07/15	ASM332123v1	University of Sao Paulo	GCA_003321235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/321/235/GCF_003321235.1_ASM332123v1		
GCF_003321255.1	PRJNA224116	SAMN09298445	QOHY00000000.1	na	573	573	Klebsiella pneumoniae	strain=BC_4303		latest	Contig	Major	Full	2018/07/15	ASM332125v1	University of Sao Paulo	GCA_003321255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/321/255/GCF_003321255.1_ASM332125v1		
GCF_003321295.1	PRJNA224116	SAMN09298443	QOIA00000000.1	na	573	573	Klebsiella pneumoniae	strain=BC_4290		latest	Contig	Major	Full	2018/07/15	ASM332129v1	University of Sao Paulo	GCA_003321295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/321/295/GCF_003321295.1_ASM332129v1		
GCF_003321305.1	PRJNA224116	SAMN09298444	QOHZ00000000.1	na	573	573	Klebsiella pneumoniae	strain=BC_1202		latest	Contig	Major	Full	2018/07/15	ASM332130v1	University of Sao Paulo	GCA_003321305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/321/305/GCF_003321305.1_ASM332130v1		
GCF_003321315.1	PRJNA224116	SAMN09298440	QOIC00000000.1	na	573	573	Klebsiella pneumoniae	strain=BC_2162		latest	Contig	Major	Full	2018/07/15	ASM332131v1	University of Sao Paulo	GCA_003321315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/321/315/GCF_003321315.1_ASM332131v1		
GCF_003321335.1	PRJNA224116	SAMN09298441	QOIB00000000.1	na	573	573	Klebsiella pneumoniae	strain=BC_1484		latest	Contig	Major	Full	2018/07/15	ASM332133v1	University of Sao Paulo	GCA_003321335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/321/335/GCF_003321335.1_ASM332133v1		
GCF_003321375.1	PRJNA224116	SAMN09298439	QOID00000000.1	na	573	573	Klebsiella pneumoniae	strain=BC_1478		latest	Contig	Major	Full	2018/07/15	ASM332137v1	University of Sao Paulo	GCA_003321375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/321/375/GCF_003321375.1_ASM332137v1		
GCF_003321385.1	PRJNA224116	SAMN09298436	QOIG00000000.1	na	573	573	Klebsiella pneumoniae	strain=BC_1422		latest	Contig	Major	Full	2018/07/15	ASM332138v1	University of Sao Paulo	GCA_003321385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/321/385/GCF_003321385.1_ASM332138v1		
GCF_003321425.1	PRJNA224116	SAMN09298435	QOIH00000000.1	na	573	573	Klebsiella pneumoniae	strain=BC_1421		latest	Contig	Major	Full	2018/07/15	ASM332142v1	University of Sao Paulo	GCA_003321425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/321/425/GCF_003321425.1_ASM332142v1		
GCF_003323855.1	PRJNA224116	SAMN08725536	PYBC00000000.1	na	573	573	Klebsiella pneumoniae	strain=KP-Y12		latest	Scaffold	Major	Full	2018/07/16	ASM332385v1	The Hong Kong Polytechnic University	GCA_003323855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/323/855/GCF_003323855.1_ASM332385v1		
